Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta
7,3,5,0.169,0.020461345671,0.0936155024273,0.967936757628,11.0896,0.0930023655613,M-runs,0.967936757628,0.957562674379,0.966186430758
7,3,5,0.0849333333333,0.0385529361902,0.0414111276223,0.972502444157,6.13373333333,0.672675401331,SM-runs,0.972502444157,0.980683852369,0.973712761641
7,5,5,0.0785333333333,0.0237735614123,0.0481796826195,0.993438552068,23.5,0.0,Baseline,0.993438552068,0.978970152249,0.990990706589
7,5,5,0.0592666666667,0.017718038517,0.0335967704884,0.989473569246,18.534,0.184392696891,M-runs,0.989473569246,0.985011352189,0.988723167304
7,5,5,0.0614666666667,0.0249395714122,0.0301128076151,0.977604257047,7.10173333333,0.487538780224,SM-runs,0.977604257047,0.98671809503,0.978978669753
7,10,5,0.0115333333333,0.0054756024529,0.00737263013023,0.999709645029,47.0,0.0,Baseline,0.999709645029,0.996735131257,0.999212332149
7,10,5,0.00913333333333,0.00786440645496,0.00551250154432,0.998843706261,37.462,0.406516912317,M-runs,0.998843706261,0.997616751722,0.99863816636
7,10,5,0.0650666666667,0.0254675392521,0.0345309761807,0.98197573964,8.44453333333,0.37269645677,SM-runs,0.98197573964,0.984861805315,0.982398119222
8,3,5,0.170133333333,0.0299552258472,0.103358720533,0.985345141576,14.4,0.0,Baseline,0.985345141576,0.955090310501,0.98016136771
8,3,5,0.152933333333,0.024680536641,0.0865800184421,0.97256907875,11.3384,0.105753676059,M-runs,0.97256907875,0.961629111973,0.970719229219
8,3,5,0.088,0.0267357438647,0.0491041251539,0.983121267554,6.01573333333,0.484426185181,SM-runs,0.983121267554,0.977980695393,0.982225339238
8,5,5,0.0642666666667,0.0233736794042,0.0395236950794,0.994798113821,24.0,0.0,Baseline,0.994798113821,0.982742789999,0.992759833355
8,5,5,0.0654,0.0188743211798,0.037070635922,0.987889945499,19.0716666667,0.167248982724,M-runs,0.987889945499,0.983619261169,0.987171735111
8,5,5,0.0716,0.0256535897423,0.0326066320105,0.968871777322,6.83293333333,0.445085529858,SM-runs,0.968871777322,0.985466303616,0.97145166612
8,10,5,0.00826666666667,0.00727064111494,0.0048552043371,0.999129086659,48.0,0.0,Baseline,0.999129086659,0.997763100749,0.998900357997
8,10,5,0.00626666666667,0.00462553300232,0.00359641533159,0.999130887563,38.116,0.339289453613,M-runs,0.999130887563,0.998347288818,0.998999860231
8,10,5,0.0626,0.0365728496748,0.0286252367592,0.974414318256,8.34653333333,0.478999215959,SM-runs,0.974414318256,0.986947810006,0.976349876686
9,3,5,0.1552,0.0195489130133,0.0940315372544,0.986206826994,14.7,0.0,Baseline,0.986206826994,0.95896254238,0.98154783967
9,3,5,0.151066666667,0.027123093891,0.085494732842,0.973405332115,11.5478,0.145312628495,M-runs,0.973405332115,0.962048649773,0.971462585626
9,3,5,0.0804666666667,0.0334979933064,0.0375702329255,0.966934869946,6.09473333333,0.77808272625,SM-runs,0.966934869946,0.983189764054,0.969414386563
9,5,5,0.0692,0.0142557590702,0.0426688650021,0.994860416151,24.5,0.0,Baseline,0.994860416151,0.981273275547,0.992565856741
9,5,5,0.0604666666667,0.0197378373238,0.0346433254106,0.989657243294,19.4556666667,0.290613527253,M-runs,0.989657243294,0.984669323224,0.988816484887
9,5,5,0.0600666666667,0.0211170284105,0.0311311357823,0.98213618302,6.96113333333,0.508914120675,SM-runs,0.98213618302,0.986192566121,0.982760674965
9,10,5,0.0078,0.00517944655988,0.00477520814498,0.999324465005,49.0,0.0,Baseline,0.999324465005,0.997884652352,0.999083440008
9,10,5,0.0088,0.0051923019943,0.00528089891647,0.999320836923,39.0386666667,0.385968334913,M-runs,0.999320836923,0.997569416086,0.999027844071
9,10,5,0.0614,0.0309769807007,0.0235898005333,0.963469062078,8.1902,0.494796820254,SM-runs,0.963469062078,0.989120078858,0.967360966123
10,3,5,0.139933333333,0.0216316640342,0.0842674448024,0.988903598922,15.0,0.0,Baseline,0.988903598922,0.962446382203,0.984387290734
10,3,5,0.136933333333,0.0231961682659,0.0766679389498,0.975816639186,11.8456,0.144631393549,M-runs,0.975816639186,0.965313478073,0.974038936882
10,3,5,0.0620666666667,0.031526637767,0.0302893569358,0.978891868207,6.02613333333,0.555272409623,SM-runs,0.978891868207,0.98606883227,0.97995680467
10,5,5,0.0625333333333,0.0138894044349,0.0381554584838,0.995353638227,25.0,0.0,Baseline,0.995353638227,0.982971056039,0.993265489795
10,5,5,0.0533333333333,0.0200687706538,0.0301110024399,0.990300568912,19.9296666667,0.147122020408,M-runs,0.990300568912,0.986523370369,0.989664202623
10,5,5,0.0763333333333,0.0283964003979,0.0354696199289,0.968891299343,6.40733333333,0.619561637145,SM-runs,0.968891299343,0.983880892567,0.971200392371
10,10,5,0.0096,0.0068973424834,0.0060478120534,0.999606187261,50.0,0.0,Baseline,0.999606187261,0.9973076152,0.999221787143
10,10,5,0.00553333333333,0.00624891101624,0.00331328507606,0.999231829883,39.9226666667,0.358598506535,M-runs,0.999231829883,0.99857069726,0.999121167311
10,10,5,0.0626666666667,0.0311826162398,0.0286569422971,0.973225877224,8.0386,0.43046715709,SM-runs,0.973225877224,0.987001313061,0.975344660437
