Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,fr_p
3,3,5,0.255,0.0329059265179,0.142004276287,0.94931292861,10.7724,0.0760107887079,M-runs,0.94931292861,0.937012855158,0.3
3,3,5,0.1414,0.0275724500181,0.0863321877674,0.987088350429,9.5563,0.276283930043,SM-runs,0.987088350429,0.962658621724,0.3
3,4,5,0.1793,0.01611862277,0.106941629626,0.973802339445,17.2,0.0,Baseline,0.973802339445,0.954799310015,0.3
3,4,5,0.1698,0.0185029727341,0.0964960947337,0.964532192006,14.4652,0.120758270938,M-runs,0.964532192006,0.958778755227,0.3
3,4,5,0.0998,0.0167618614718,0.061989783758,0.99028500219,10.8446,0.235282893556,SM-runs,0.99028500219,0.973858275981,0.3
3,5,5,0.1466,0.0158189759466,0.0889358121166,0.984732455336,21.5,0.0,Baseline,0.984732455336,0.961739883648,0.3
3,5,5,0.1355,0.0325399754149,0.0791500264644,0.979122807277,18.1435,0.167780362379,M-runs,0.979122807277,0.965676329173,0.3
3,5,5,0.084,0.0124579292019,0.050407365122,0.98991419344,12.1724,0.299708258144,SM-runs,0.98991419344,0.978090128225,0.3
3,6,5,0.0854,0.0177155299102,0.0508830821099,0.990720883612,25.8,0.0,Baseline,0.990720883612,0.977387302508,0.3
3,6,5,0.0776,0.015415576538,0.0457435133624,0.990383316786,21.7926,0.192139636723,M-runs,0.990383316786,0.979621245238,0.3
3,6,5,0.0738,0.0186697616482,0.0430835943633,0.990114935451,13.6202,0.369551566091,SM-runs,0.990114935451,0.980719968048,0.3
3,7,5,0.0803,0.0211520684568,0.048621558889,0.994468700785,30.1,0.0,Baseline,0.994468700785,0.97803711512,0.3
3,7,5,0.0627,0.0212887294125,0.0367785319655,0.993131299245,25.5227,0.237266959352,M-runs,0.993131299245,0.983226002019,0.3
3,7,5,0.0664,0.0125713961039,0.0393730913465,0.992809459541,14.9936,0.520439468142,SM-runs,0.992809459541,0.98227829379,0.3
3,8,5,0.0605,0.0225044440056,0.0370193860551,0.99564526024,34.4,0.0,Baseline,0.99564526024,0.983541132893,0.3
3,8,5,0.0499,0.0151555270446,0.029752874481,0.994331447792,29.1824,0.302962439916,M-runs,0.994331447792,0.986790170545,0.3
3,8,5,0.0581,0.015365220467,0.0340863596328,0.991894636845,16.0378,0.203776740577,SM-runs,0.991894636845,0.984940463644,0.3
3,9,5,0.0487,0.0193651749282,0.0305389121632,0.996842730834,38.7,0.0,Baseline,0.996842730834,0.986782184019,0.3
3,9,5,0.0325,0.0142776048411,0.0198931214133,0.996419592908,32.832,0.171331258094,M-runs,0.996419592908,0.991455822272,0.3
3,9,5,0.0667,0.0256672943646,0.0403512243565,0.991140039533,17.3236,0.170217625409,SM-runs,0.991140039533,0.982891514889,0.3
3,10,5,0.0306,0.0153440542231,0.0186192337336,0.997682969489,43.0,0.0,Baseline,0.997682969489,0.991627264834,0.3
3,10,5,0.0348,0.00734574706888,0.0211973554348,0.997396823915,36.445,0.261428766589,M-runs,0.997396823915,0.990477301273,0.3
3,10,5,0.0542,0.0149519229533,0.03187307795,0.993196176894,18.6758,0.345567301694,SM-runs,0.993196176894,0.985755722344,0.3
3,1,5,0.7307,0.0570263973963,0.440042691344,0.950667802764,4.3,0.0,Baseline,0.950667802764,0.823277144812,0.4
3,1,5,0.7967,0.0633656847197,0.481624993724,0.95206162855,3.4239,0.0560935825206,M-runs,0.95206162855,0.809705804859,0.4
